Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	DMSO_1_1 Spectral Count	DMSO_1_2 Spectral Count	DMSO_1_3 Spectral Count	DMSO_1_4 Spectral Count	DMSO_1_5 Spectral Count	DMSO_1_6 Spectral Count	DMSO_4_1 Spectral Count	DMSO_4_2 Spectral Count	DMSO_4_3 Spectral Count	DMSO_4_4 Spectral Count	DMSO_4_5 Spectral Count	DMSO_4_6 Spectral Count	DMSO_6_1 Spectral Count	DMSO_6_2 Spectral Count	DMSO_6_3 Spectral Count	DMSO_6_4 Spectral Count	DMSO_6_5 Spectral Count	DMSO_6_6 Spectral Count	brigatinib_1 Spectral Count	brigatinib_10 Spectral Count	brigatinib_100 Spectral Count	brigatinib_1000 Spectral Count	brigatinib_10000 Spectral Count	dabrafenib_1 Spectral Count	dabrafenib_10 Spectral Count	dabrafenib_100 Spectral Count	dabrafenib_1000 Spectral Count	dabrafenib_10000 Spectral Count	methotrexate_1 Spectral Count	methotrexate_10 Spectral Count	methotrexate_100 Spectral Count	methotrexate_1000 Spectral Count	methotrexate_10000 Spectral Count	DMSO_1_1 Unique Spectral Count	DMSO_1_2 Unique Spectral Count	DMSO_1_3 Unique Spectral Count	DMSO_1_4 Unique Spectral Count	DMSO_1_5 Unique Spectral Count	DMSO_1_6 Unique Spectral Count	DMSO_4_1 Unique Spectral Count	DMSO_4_2 Unique Spectral Count	DMSO_4_3 Unique Spectral Count	DMSO_4_4 Unique Spectral Count	DMSO_4_5 Unique Spectral Count	DMSO_4_6 Unique Spectral Count	DMSO_6_1 Unique Spectral Count	DMSO_6_2 Unique Spectral Count	DMSO_6_3 Unique Spectral Count	DMSO_6_4 Unique Spectral Count	DMSO_6_5 Unique Spectral Count	DMSO_6_6 Unique Spectral Count	brigatinib_1 Unique Spectral Count	brigatinib_10 Unique Spectral Count	brigatinib_100 Unique Spectral Count	brigatinib_1000 Unique Spectral Count	brigatinib_10000 Unique Spectral Count	dabrafenib_1 Unique Spectral Count	dabrafenib_10 Unique Spectral Count	dabrafenib_100 Unique Spectral Count	dabrafenib_1000 Unique Spectral Count	dabrafenib_10000 Unique Spectral Count	methotrexate_1 Unique Spectral Count	methotrexate_10 Unique Spectral Count	methotrexate_100 Unique Spectral Count	methotrexate_1000 Unique Spectral Count	methotrexate_10000 Unique Spectral Count	DMSO_1_1 Total Spectral Count	DMSO_1_2 Total Spectral Count	DMSO_1_3 Total Spectral Count	DMSO_1_4 Total Spectral Count	DMSO_1_5 Total Spectral Count	DMSO_1_6 Total Spectral Count	DMSO_4_1 Total Spectral Count	DMSO_4_2 Total Spectral Count	DMSO_4_3 Total Spectral Count	DMSO_4_4 Total Spectral Count	DMSO_4_5 Total Spectral Count	DMSO_4_6 Total Spectral Count	DMSO_6_1 Total Spectral Count	DMSO_6_2 Total Spectral Count	DMSO_6_3 Total Spectral Count	DMSO_6_4 Total Spectral Count	DMSO_6_5 Total Spectral Count	DMSO_6_6 Total Spectral Count	brigatinib_1 Total Spectral Count	brigatinib_10 Total Spectral Count	brigatinib_100 Total Spectral Count	brigatinib_1000 Total Spectral Count	brigatinib_10000 Total Spectral Count	dabrafenib_1 Total Spectral Count	dabrafenib_10 Total Spectral Count	dabrafenib_100 Total Spectral Count	dabrafenib_1000 Total Spectral Count	dabrafenib_10000 Total Spectral Count	methotrexate_1 Total Spectral Count	methotrexate_10 Total Spectral Count	methotrexate_100 Total Spectral Count	methotrexate_1000 Total Spectral Count	methotrexate_10000 Total Spectral Count	DMSO_1_1 Intensity	DMSO_1_2 Intensity	DMSO_1_3 Intensity	DMSO_1_4 Intensity	DMSO_1_5 Intensity	DMSO_1_6 Intensity	DMSO_4_1 Intensity	DMSO_4_2 Intensity	DMSO_4_3 Intensity	DMSO_4_4 Intensity	DMSO_4_5 Intensity	DMSO_4_6 Intensity	DMSO_6_1 Intensity	DMSO_6_2 Intensity	DMSO_6_3 Intensity	DMSO_6_4 Intensity	DMSO_6_5 Intensity	DMSO_6_6 Intensity	brigatinib_1 Intensity	brigatinib_10 Intensity	brigatinib_100 Intensity	brigatinib_1000 Intensity	brigatinib_10000 Intensity	dabrafenib_1 Intensity	dabrafenib_10 Intensity	dabrafenib_100 Intensity	dabrafenib_1000 Intensity	dabrafenib_10000 Intensity	methotrexate_1 Intensity	methotrexate_10 Intensity	methotrexate_100 Intensity	methotrexate_1000 Intensity	methotrexate_10000 Intensity	DMSO_1_1 MaxLFQ Intensity	DMSO_1_2 MaxLFQ Intensity	DMSO_1_3 MaxLFQ Intensity	DMSO_1_4 MaxLFQ Intensity	DMSO_1_5 MaxLFQ Intensity	DMSO_1_6 MaxLFQ Intensity	DMSO_4_1 MaxLFQ Intensity	DMSO_4_2 MaxLFQ Intensity	DMSO_4_3 MaxLFQ Intensity	DMSO_4_4 MaxLFQ Intensity	DMSO_4_5 MaxLFQ Intensity	DMSO_4_6 MaxLFQ Intensity	DMSO_6_1 MaxLFQ Intensity	DMSO_6_2 MaxLFQ Intensity	DMSO_6_3 MaxLFQ Intensity	DMSO_6_4 MaxLFQ Intensity	DMSO_6_5 MaxLFQ Intensity	DMSO_6_6 MaxLFQ Intensity	brigatinib_1 MaxLFQ Intensity	brigatinib_10 MaxLFQ Intensity	brigatinib_100 MaxLFQ Intensity	brigatinib_1000 MaxLFQ Intensity	brigatinib_10000 MaxLFQ Intensity	dabrafenib_1 MaxLFQ Intensity	dabrafenib_10 MaxLFQ Intensity	dabrafenib_100 MaxLFQ Intensity	dabrafenib_1000 MaxLFQ Intensity	dabrafenib_10000 MaxLFQ Intensity	methotrexate_1 MaxLFQ Intensity	methotrexate_10 MaxLFQ Intensity	methotrexate_100 MaxLFQ Intensity	methotrexate_1000 MaxLFQ Intensity	methotrexate_10000 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q13546|RIPK1_HUMAN	Q13546	RIPK1_HUMAN	RIPK1	671	Homo sapiens	1:Experimental evidence at protein level	Receptor-interacting serine/threonine-protein kinase 1	1	0.999	14	302	48	302	7	13	8	10	9	9	12	11	9	8	11	11	7	9	7	5	10	11	7	8	11	8	9	11	10	7	9	7	10	10	10	10	8	0	2	0	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	1	0	0	0	0	2	1	2	1	1	7	13	8	10	9	9	12	11	9	8	11	11	7	9	7	5	10	11	7	8	11	8	9	11	10	7	9	7	10	10	10	10	8	1.77E+08	1.74E+08	1.97E+08	1.82E+08	1.86E+08	1.91E+08	1.75E+08	3.02E+08	1.75E+08	3.24E+08	4.11E+09	2.47E+08	1.53E+08	1.75E+08	1.47E+08	1.60E+08	1.59E+08	1.93E+08	1.61E+08	1.85E+08	1.76E+08	1.70E+08	1.64E+08	1.90E+08	1.78E+08	1.88E+08	1.97E+08	1.91E+08	1.64E+08	1.70E+08	4.46E+08	2.28E+08	2.07E+08	6.71E+07	5.59E+07	5.60E+07	5.44E+07	6.25E+07	6.66E+07	5.09E+07	6.71E+07	6.37E+07	5.67E+07	5.90E+07	5.92E+07	5.15E+07	5.46E+07	4.86E+07	5.33E+07	5.55E+07	4.55E+07	5.12E+07	5.19E+07	5.41E+07	5.12E+07	5.04E+07	5.48E+07	6.39E+07	6.12E+07	6.97E+07	6.13E+07	5.41E+07	5.43E+07	6.27E+07	6.77E+07	6.12E+07	
sp|Q13547|HDAC1_HUMAN	Q13547	HDAC1_HUMAN	HDAC1	482	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase 1	1	0.999	17	627	407	627	13	18	15	20	17	20	18	20	22	21	21	20	20	20	16	17	16	19	21	18	21	17	22	18	19	20	17	17	19	20	22	19	24	9	11	9	13	10	13	12	12	14	14	12	13	12	12	10	11	10	10	15	11	14	10	15	13	13	15	11	12	13	14	15	13	16	13	18	15	20	17	20	18	20	22	21	21	20	20	20	16	17	16	19	21	18	21	17	22	18	19	20	17	17	19	20	22	19	24	1.68E+09	2.68E+09	1.67E+09	2.67E+09	1.72E+09	1.85E+09	2.51E+09	2.28E+09	2.61E+09	2.63E+09	2.63E+09	2.49E+09	2.17E+09	2.12E+09	2.02E+09	2.26E+09	1.44E+09	2.19E+09	2.19E+09	2.31E+09	2.31E+09	1.49E+09	2.03E+09	2.55E+09	1.74E+09	1.76E+09	1.64E+09	1.74E+09	2.48E+09	2.63E+09	2.34E+09	2.64E+09	2.60E+09	7.16E+08	7.73E+08	6.79E+08	7.66E+08	6.67E+08	7.80E+08	6.49E+08	7.35E+08	6.87E+08	6.88E+08	6.57E+08	6.16E+08	6.75E+08	6.78E+08	6.74E+08	7.07E+08	6.81E+08	6.71E+08	7.05E+08	6.89E+08	6.84E+08	6.60E+08	7.07E+08	7.48E+08	7.14E+08	7.61E+08	6.72E+08	7.21E+08	6.56E+08	7.17E+08	6.64E+08	7.09E+08	6.99E+08	
sp|Q13555-4|KCC2G_HUMAN	Q13555-4	KCC2G_HUMAN	CAMK2G	529	Homo sapiens		Isoform 4 of Calcium/calmodulin-dependent protein kinase type II subunit gamma	1	0.999	12	253	0	270	8	9	9	7	8	7	6	7	6	7	7	7	6	7	8	10	9	8	7	10	8	9	7	7	7	8	9	7	7	8	6	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	10	8	10	8	7	8	6	9	7	8	6	7	8	10	9	8	7	10	8	9	7	8	7	9	10	8	7	8	7	9	8	3.57E+08	3.71E+08	3.43E+08	3.84E+08	3.54E+08	4.03E+08	4.64E+08	5.10E+08	4.34E+08	6.82E+08	6.18E+08	5.78E+08	2.58E+08	2.65E+08	2.79E+08	3.31E+08	4.70E+08	2.67E+08	2.68E+08	3.17E+08	2.87E+08	3.33E+08	3.53E+08	3.59E+08	3.85E+08	3.77E+08	4.16E+08	3.78E+08	4.32E+08	4.68E+08	5.30E+08	4.88E+08	4.61E+08	1.23E+08	1.34E+08	1.32E+08	1.51E+08	1.37E+08	1.46E+08	1.46E+08	1.54E+08	1.38E+08	1.58E+08	1.53E+08	1.62E+08	9.26E+07	9.67E+07	9.05E+07	1.03E+08	1.41E+08	9.57E+07	9.22E+07	1.19E+08	9.39E+07	1.17E+08	1.35E+08	1.41E+08	1.48E+08	1.42E+08	1.44E+08	1.46E+08	1.30E+08	1.36E+08	1.66E+08	1.42E+08	1.53E+08	
sp|Q13555-9|KCC2G_HUMAN	Q13555-9	KCC2G_HUMAN	CAMK2G	542	Homo sapiens		Isoform 9 of Calcium/calmodulin-dependent protein kinase type II subunit gamma	0.9998	0.999	11	8	8	209	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	8	9	7	6	9	7	6	5	4	7	5	6	5	5	6	8	7	6	5	8	6	5	5	7	6	7	9	7	5	6	5	7	5	4308365	3402992.2	4538006	4604594	5217345	5718506.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5174668	7624526.5	3646266.5	4681788	6567034	0	0	0	0	0	4308365	3402992.2	4538006	4604594	5217345	5718506.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5174668	7624526.5	3646266.5	4681788	6567034	0	0	0	0	0	
sp|Q13557-10|KCC2D_HUMAN	Q13557-10	KCC2D_HUMAN	CAMK2D	492	Homo sapiens		Isoform Delta 10 of Calcium/calmodulin-dependent protein kinase type II subunit delta	1	0.999	6	83	0	112	2	3	2	3	4	4	3	4	2	5	2	4	3	1	3	1	2	3	2	1	1	1	2	3	3	1	3	3	1	1	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	4	5	5	3	5	3	6	3	5	3	2	3	2	3	3	3	2	2	2	3	4	4	2	4	4	2	2	5	4	4	1.03E+08	1.27E+08	1.32E+08	1.16E+08	1.22E+08	1.35E+08	1.22E+08	7.93E+07	1.66E+08	1.05E+08	1.11E+08	1.30E+08	3.06E+07	2.75E+07	2.71E+07	2.30E+07	1.98E+07	2.87E+07	2.20E+07	2.01E+07	3.07E+07	2.68E+07	2.68E+07	1.27E+08	5.59E+07	9.89E+07	1.50E+08	1.29E+08	1.46E+08	2.39E+07	1.27E+08	3.42E+07	3.45E+07	4.40E+07	4.69E+07	5.48E+07	3.92E+07	4.46E+07	5.73E+07	4.05E+07	3.06E+07	3.24E+07	4.27E+07	3.57E+07	3.30E+07	3.25E+07	3.05E+07	2.95E+07	2.56E+07	1.97E+07	3.15E+07	2.55E+07	2.50E+07	3.30E+07	2.93E+07	2.99E+07	5.16E+07	6.04E+07	3.34E+07	6.83E+07	5.47E+07	2.32E+07	2.53E+07	4.56E+07	4.08E+07	4.20E+07	"sp|Q13557-11|KCC2D_HUMAN, sp|Q13557-12|KCC2D_HUMAN, sp|Q13557-6|KCC2D_HUMAN, sp|Q13557-8|KCC2D_HUMAN, sp|Q13557|KCC2D_HUMAN"
sp|Q13561-2|DCTN2_HUMAN	Q13561-2	DCTN2_HUMAN	DCTN2	406	Homo sapiens		Isoform 2 of Dynactin subunit 2	1	0.999	14	441	0	441	14	14	14	13	12	12	13	12	14	13	13	16	12	15	11	12	16	13	18	16	14	17	11	13	12	12	11	10	17	14	12	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	14	13	12	12	13	12	14	13	13	16	12	15	11	12	16	13	18	16	14	17	11	13	12	12	11	10	17	14	12	14	11	1.18E+09	1.19E+09	1.17E+09	1.22E+09	1.23E+09	1.18E+09	1.05E+09	9.74E+08	1.05E+09	1.06E+09	9.36E+08	1.04E+09	9.63E+08	9.10E+08	8.46E+08	9.38E+08	9.20E+08	9.18E+08	9.16E+08	9.39E+08	8.89E+08	8.93E+08	8.56E+08	1.18E+09	1.10E+09	1.20E+09	1.23E+09	1.26E+09	9.50E+08	8.90E+08	9.54E+08	1.01E+09	1.00E+09	2.17E+08	2.18E+08	2.20E+08	2.30E+08	2.23E+08	2.09E+08	2.11E+08	2.16E+08	2.17E+08	2.16E+08	1.86E+08	1.97E+08	1.97E+08	1.88E+08	1.76E+08	2.14E+08	1.84E+08	1.93E+08	1.92E+08	2.07E+08	1.96E+08	1.97E+08	1.80E+08	2.14E+08	1.87E+08	2.22E+08	2.12E+08	2.30E+08	1.96E+08	1.88E+08	2.02E+08	2.07E+08	2.05E+08	"sp|Q13561-3|DCTN2_HUMAN, sp|Q13561|DCTN2_HUMAN"
sp|Q13564-2|ULA1_HUMAN	Q13564-2	ULA1_HUMAN	NAE1	528	Homo sapiens		Isoform 2 of NEDD8-activating enzyme E1 regulatory subunit	1	0.999	14	322	0	322	12	10	11	10	11	12	12	11	10	7	11	10	8	7	6	9	11	11	7	9	9	8	5	10	12	12	10	11	11	13	10	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	11	10	11	12	12	11	10	7	11	10	8	7	6	9	11	11	7	9	9	8	5	10	12	12	10	11	11	13	10	7	9	3.51E+08	3.18E+08	3.13E+08	3.21E+08	2.72E+08	4.17E+08	3.54E+08	4.05E+08	2.69E+08	1.90E+08	3.80E+08	2.68E+08	2.30E+08	1.86E+08	2.47E+08	2.52E+08	3.13E+08	3.56E+08	2.67E+08	3.42E+08	3.71E+08	2.35E+08	1.64E+08	3.47E+08	3.30E+08	3.82E+08	3.05E+08	3.26E+08	3.71E+08	3.15E+08	2.75E+08	2.26E+08	3.42E+08	7.57E+07	8.58E+07	8.57E+07	9.03E+07	7.86E+07	9.15E+07	7.62E+07	7.42E+07	6.76E+07	6.73E+07	8.20E+07	7.83E+07	6.39E+07	6.11E+07	8.08E+07	7.78E+07	6.66E+07	6.86E+07	7.64E+07	7.15E+07	7.60E+07	6.15E+07	7.12E+07	9.42E+07	8.34E+07	8.45E+07	8.47E+07	8.95E+07	7.65E+07	6.21E+07	6.65E+07	6.74E+07	6.56E+07	"sp|Q13564-4|ULA1_HUMAN, sp|Q13564|ULA1_HUMAN"
sp|Q13569|TDG_HUMAN	Q13569	TDG_HUMAN	TDG	410	Homo sapiens	1:Experimental evidence at protein level	G/T mismatch-specific thymine DNA glycosylase	1	0.999	5	61	61	61	2	3	4	2	3	4	2	2	2	2	2	2	1	1	0	1	2	2	1	1	1	1	3	3	2	3	4	3	2	0	0	0	0	2	3	4	2	3	4	2	2	2	2	2	2	1	1	0	1	2	2	1	1	1	1	3	3	2	3	4	3	2	0	0	0	0	2	3	4	2	3	4	2	2	2	2	2	2	1	1	0	1	2	2	1	1	1	1	3	3	2	3	4	3	2	0	0	0	0	1.53E+07	2.59E+07	2.02E+07	2.20E+07	2.70E+07	2.43E+07	1.56E+07	2.03E+07	2.34E+07	1.79E+07	1.61E+07	2.79E+07	1.19E+07	1.84E+07	5895056	6486024.5	1.11E+07	1.33E+07	5849814.5	8088354	1.01E+07	3.03E+07	2.10E+07	2.80E+07	2.13E+07	2.64E+07	2.84E+07	3.53E+07	1.90E+07	3745032.8	3678840	3017944.8	2298128.2	9265438	1.20E+07	9534484	1.03E+07	1.29E+07	1.11E+07	9057168	1.20E+07	1.21E+07	1.07E+07	9346886	1.54E+07	7173082.5	1.06E+07	6535097.5	7190229	6500958	7788341	6484944	8966528	1.12E+07	1.29E+07	1.28E+07	1.32E+07	9977489	1.24E+07	1.31E+07	1.65E+07	1.00E+07	4151640.8	2103115.5	3345611	2547642	
sp|Q13572|ITPK1_HUMAN	Q13572	ITPK1_HUMAN	ITPK1	414	Homo sapiens	1:Experimental evidence at protein level	Inositol-tetrakisphosphate 1-kinase	1	0.999	10	147	83	147	6	3	5	2	4	3	6	4	5	5	6	6	6	6	6	3	5	5	7	5	4	3	3	5	3	4	2	4	4	3	4	5	5	2	1	1	1	2	1	3	2	3	3	4	3	4	5	3	2	4	4	5	3	2	2	3	2	1	2	1	1	3	2	2	3	3	6	3	5	2	4	3	6	4	5	5	6	6	6	6	6	3	5	5	7	5	4	3	3	5	3	4	2	4	4	3	4	5	5	1.04E+08	1.12E+08	1.31E+08	1.07E+08	1.04E+08	1.14E+08	6.37E+07	5.68E+07	9.88E+07	9.76E+07	7.70E+07	1.31E+08	1.05E+08	8.61E+07	9.36E+07	1.13E+08	9.58E+07	1.04E+08	1.15E+08	9.84E+07	9.27E+07	9.48E+07	7.34E+07	1.07E+08	9.28E+07	1.15E+08	9.44E+07	8.79E+07	9.21E+07	9.76E+07	7.99E+07	1.11E+08	1.22E+08	4.30E+07	4.56E+07	4.49E+07	4.19E+07	4.89E+07	4.15E+07	3.48E+07	4.40E+07	3.95E+07	4.34E+07	4.06E+07	3.84E+07	5.48E+07	4.12E+07	4.57E+07	4.57E+07	4.69E+07	4.47E+07	5.24E+07	4.62E+07	4.12E+07	4.25E+07	3.99E+07	4.40E+07	4.40E+07	4.88E+07	3.65E+07	4.34E+07	5.10E+07	4.41E+07	3.85E+07	4.26E+07	4.93E+07	
sp|Q13573|SNW1_HUMAN	Q13573	SNW1_HUMAN	SNW1	536	Homo sapiens	1:Experimental evidence at protein level	SNW domain-containing protein 1	1	0.999	18	480	480	480	14	12	14	12	12	13	17	17	18	14	12	16	13	15	16	13	15	13	15	13	15	16	14	11	12	12	15	13	22	17	17	16	16	14	12	14	12	12	13	17	17	18	14	12	16	13	15	16	13	15	13	15	13	15	16	14	11	12	12	15	13	22	17	17	16	16	14	12	14	12	12	13	17	17	18	14	12	16	13	15	16	13	15	13	15	13	15	16	14	11	12	12	15	13	22	17	17	16	16	8.69E+08	6.97E+08	8.72E+08	8.96E+08	8.07E+08	7.49E+08	8.43E+08	6.33E+08	7.88E+08	7.60E+08	6.56E+08	8.10E+08	8.58E+08	5.97E+08	8.52E+08	5.30E+08	7.53E+08	8.11E+08	7.68E+08	5.98E+08	7.51E+08	7.75E+08	7.03E+08	8.71E+08	7.63E+08	8.83E+08	7.71E+08	8.08E+08	8.39E+08	9.05E+08	8.76E+08	7.60E+08	6.05E+08	1.86E+08	1.83E+08	1.79E+08	1.82E+08	1.74E+08	1.44E+08	1.68E+08	1.59E+08	1.72E+08	1.67E+08	1.47E+08	1.62E+08	1.99E+08	1.90E+08	1.98E+08	1.55E+08	1.90E+08	1.92E+08	1.72E+08	1.89E+08	1.78E+08	1.91E+08	1.71E+08	1.72E+08	1.58E+08	1.85E+08	1.59E+08	1.67E+08	1.76E+08	1.78E+08	1.79E+08	1.53E+08	1.24E+08	
sp|Q13574-1|DGKZ_HUMAN	Q13574-1	DGKZ_HUMAN	DGKZ	1117	Homo sapiens		Isoform 2 of Diacylglycerol kinase zeta	1	0.999	17	300	40	300	7	9	9	9	12	8	7	10	9	8	10	11	7	13	6	8	9	9	8	8	8	12	10	11	8	6	9	10	9	8	10	10	12	1	1	1	1	1	0	1	2	2	2	0	1	1	2	1	1	2	1	1	2	1	3	2	1	1	1	1	1	1	0	1	1	2	7	9	9	9	12	8	7	10	9	8	10	11	7	13	6	8	9	9	8	8	8	12	10	11	8	6	9	10	9	8	10	10	12	1.99E+08	1.71E+08	2.00E+08	2.22E+08	2.10E+08	2.13E+08	2.14E+08	2.05E+08	2.08E+08	2.17E+08	2.41E+08	2.34E+08	1.97E+08	2.15E+08	1.90E+08	2.15E+08	2.22E+08	2.08E+08	1.80E+08	2.05E+08	1.81E+08	2.19E+08	2.31E+08	1.91E+08	2.56E+08	2.20E+08	2.27E+08	2.63E+08	2.24E+08	2.17E+08	2.22E+08	2.63E+08	2.52E+08	6.75E+07	6.51E+07	6.83E+07	6.91E+07	6.88E+07	6.57E+07	7.43E+07	6.73E+07	6.87E+07	7.00E+07	7.75E+07	7.49E+07	5.97E+07	6.49E+07	6.07E+07	6.85E+07	6.74E+07	6.00E+07	6.40E+07	6.18E+07	6.09E+07	6.71E+07	7.11E+07	6.85E+07	7.28E+07	7.14E+07	6.95E+07	7.21E+07	6.29E+07	7.32E+07	7.78E+07	7.58E+07	8.09E+07	
sp|Q13576|IQGA2_HUMAN	Q13576	IQGA2_HUMAN	IQGAP2	1575	Homo sapiens	1:Experimental evidence at protein level	Ras GTPase-activating-like protein IQGAP2	1	0.999	47	873	286	916	32	24	22	29	24	27	29	23	25	24	25	28	30	28	26	27	26	29	26	26	26	26	27	25	22	24	26	21	30	27	28	28	33	10	9	7	13	10	12	9	6	7	5	9	8	9	8	10	10	8	9	9	10	10	9	9	8	9	7	8	7	8	7	8	9	9	33	26	24	31	26	29	30	24	26	25	26	29	31	29	27	28	27	30	27	27	27	27	28	27	24	26	28	23	31	28	29	29	34	1.11E+09	9.89E+08	1.12E+09	1.04E+09	1.28E+09	1.06E+09	1.90E+09	6.83E+08	1.26E+09	1.14E+09	8.73E+08	1.03E+09	9.28E+08	8.52E+08	9.09E+08	1.23E+09	8.48E+08	9.11E+08	8.17E+08	9.05E+08	9.19E+08	8.09E+08	1.03E+09	8.35E+08	9.29E+08	1.21E+09	1.23E+09	1.17E+09	1.52E+09	1.23E+09	8.25E+08	7.91E+08	1.51E+09	2.48E+08	2.30E+08	2.38E+08	2.38E+08	2.41E+08	2.44E+08	2.36E+08	2.17E+08	2.24E+08	2.28E+08	2.16E+08	2.32E+08	2.03E+08	2.03E+08	1.92E+08	2.16E+08	2.03E+08	1.87E+08	2.10E+08	1.91E+08	1.91E+08	2.11E+08	2.06E+08	2.40E+08	2.50E+08	2.41E+08	2.58E+08	2.43E+08	2.08E+08	2.01E+08	1.84E+08	1.87E+08	2.25E+08	
sp|Q13586|STIM1_HUMAN	Q13586	STIM1_HUMAN	STIM1	685	Homo sapiens	1:Experimental evidence at protein level	Stromal interaction molecule 1	1	0.999	27	645	251	645	16	16	19	17	17	17	24	23	22	20	22	22	19	21	20	19	16	22	20	20	19	20	20	15	17	17	16	17	24	21	23	21	23	7	8	8	9	9	7	8	8	8	9	9	9	6	7	7	6	6	8	7	8	6	8	7	7	7	7	8	8	7	8	8	8	8	16	16	19	17	17	17	24	23	22	20	22	22	19	21	20	19	16	22	20	20	19	20	20	15	17	17	16	17	24	21	23	21	23	4.60E+08	4.50E+08	4.79E+08	4.66E+08	4.95E+08	5.00E+08	5.40E+08	6.18E+08	4.78E+08	5.45E+08	6.38E+08	5.28E+08	5.38E+08	5.41E+08	5.22E+08	5.14E+08	4.75E+08	4.79E+08	5.31E+08	4.95E+08	4.84E+08	5.51E+08	6.39E+08	4.64E+08	4.42E+08	3.92E+08	4.61E+08	5.38E+08	5.44E+08	5.32E+08	5.26E+08	5.01E+08	5.34E+08	6.33E+07	6.77E+07	7.02E+07	6.66E+07	6.85E+07	6.93E+07	6.97E+07	7.14E+07	6.60E+07	7.15E+07	6.83E+07	6.66E+07	6.89E+07	7.08E+07	7.76E+07	6.92E+07	6.74E+07	6.08E+07	6.90E+07	6.20E+07	6.60E+07	7.33E+07	8.55E+07	7.23E+07	6.43E+07	6.89E+07	6.82E+07	7.51E+07	7.30E+07	6.77E+07	7.10E+07	6.34E+07	6.62E+07	
sp|Q13588|GRAP_HUMAN	Q13588	GRAP_HUMAN	GRAP	217	Homo sapiens	1:Experimental evidence at protein level	GRB2-related adapter protein	1	0.999	2	20	14	20	2	1	2	0	1	1	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	1	0	0	0	1	1	2	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	2	1	2	0	1	1	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	1	0	0	0	1	1	1.40E+07	1.20E+07	1.28E+07	7616137	1.53E+07	1.15E+07	2289420	2422221.5	2884795	2286904.2	2417328.8	2765153.2	4056817.5	2960440.2	2340466.5	4397823.5	3835637.5	4110194.8	1960105.5	3338704	2446028.5	2132602.2	2944477.5	1.66E+07	1.76E+07	1.10E+07	1.19E+07	1.46E+07	0	1061182	1893100.8	2891578.8	4115488.5	1.40E+07	1.20E+07	1.28E+07	7616137	1.53E+07	1.15E+07	2289420	2422221.5	2884795	2286904.2	2417328.8	2765153.2	4056817.5	2960440.2	2340466.5	4397823.5	3835637.5	4110194.8	1960105.5	3338704	2446028.5	2132602.2	2944477.5	1.66E+07	1.76E+07	1.10E+07	1.19E+07	1.46E+07	0	1061182	1893100.8	2891578.8	4115488.5	
